sentence,subject,verb,object,hinnang
"Tanel pistab käe endale viivuks püksi , teeb seejuures nägusid ja selgitab : “ Ta suskas mulle kingiks mõeldud Hollywoodi klubikaardi millegipärast endale korraks s i n n a !",Tanel,pistma,käsi,yes
1997. a. mais korraldas linnavalitsus konkursi Narva 1. ja 4. kooli rekonstrueerimiseks .,linnavalitsus,korraldama,konkurss,yes
See on pannud tervishoiuametnikke korraldama kampaaniaid päevitamise populaarsuse vähendamiseks : “ Pane särk selga !,see,korraldama,kampaania,yes
"Möödunud nädalal saatis üks kunstiülikooli tudeng toimetusse meili , milles palus Ané telefoni või meiliaadressi .",tudeng,saatma,meil,yes
"Moskva ja Washingtoni normaalset suhtlust segab suuresti asjaolu , et Venemaa ei taha leppida USA kui ainukese üliriigi staatusega .",asjaolu,segama,suhtlus,yes
"“ Eduard meenutab juhtumit , mille pärast hommikueine naisele sängi serveerimine tabuks sai : “ Ükskord , jah , kallasin kohvi voodisse .",Eduard,meenutama,juhtum,yes
Kirjutajana on see mind alati inspireerinud .,see,inspireerima,mina,yes
Eestlaste madal reiting võib paljusid ehmatada .,reiting,ehmatama,palju,yes
"Mõnes mõttes annab raha küll eelise , aga samas ei garanteeri tulemust .",raha,andma,eelis,yes
"2001. aasta seksikaimaks naiseks valitud Anu Saagim õigustab taas oma tiitlit , rääkides järgnevas intervjuus rabava avameelsusega seksist ja vananemishirmust .",Anu,õigustama,tiitel,yes
Kas need auhinnad tähendavad sulle midagi ?,auhind,tähendama,miski,yes
"Teadaolevalt soodsaimat hinda pakub kompanii nimega Unitil : 2,4 USA senti ehk 32 Eesti senti kilovatt-tunni eest .",kompanii,pakkuma,hind,yes
” Siiras vabandus sulatab publiku ning Brainstorm annab The Cranberriese tuuri ühe menukama soojenduskontserdi .,vabandus,sulatama,publik,yes
1994. a. pöörasid kutsumata külalised Alas-Eweco kontori segi ja viisid minema neli seifi .,külaline,pöörama,kontor,yes
Täielikult ma ennast kellelegi avada ei saa ja ma ei saa seda ka kelleltki teiselt nõuda .,mina,avama,ise,yes
Kõva sõna võidab ikka kõhkleva väe !,sõna,võitma,vägi,yes
"“ Kui midagi peaks valesti minema , saab pank kõik endale .",pank,saama,kõik,yes
"Kõige paremini iseloomustab seda tunnet ingliskeelne väljend pain in ass ( valu tagumikus ) , ” räägib Ülle .",väljend,iseloomustama,tunne,yes
"Üleminekujärgus Ungari , Poola ja Tshehhi Vabariik vajavad mitme eksperdi arvates raha esmajoones majanduse edendamiseks .",vabariik,vajama,raha,yes
"Zhürii põhjendab Siiri läbikukkumist sellega , et neiu on liiga vaikne ning vaatajatel pole teda huvitav jälgida .",zhürii,põhjendama,läbikukkumine,yes
"Muusik Tarmo Urb põimib kõik need teemad üheks kimbuks ja tõdeb , et 21. sajandi suurim defitsiit on eetika .",muusik,põimima,teema,yes
Mis sind selleks ajendas ?,mis,ajendama,sina,yes
Kes sulle riideid valib ?,kes,valima,riie,yes
” Võõrtöölised tähendavad tööpuuduses ägaval liidumaal vastikut konkurenti .,võõrtööline,tähendama,konkurent,yes
"Aastal 1991 epohhiloonud sündmused maailmapoliitikas tõid kaasa külma sõja lõpu , N Liidu lagunemise , jõudude ümberpaigutuse ning kestva tasakaalutuse maailmas .",sündmus,tooma,lõpp,yes
"“ Venekeelne variant võib tekitada probleeme , sest minu teoses põrkuvad kokku Ameerika , Venemaa ja idariikide huvid .",variant,tekitama,probleem,yes
Vägisi tekitab linna hea tahe negatiivse seose : koduste laste ja perekonna asotsiaalsuse vahele käib Tartus võrdusmärk .,tahe,tekitama,seos,yes
"Tegelikult ei tee reegleid mitte inimesed , vaid raha .",inimene,tegema,reegel,yes
Anne-Mari Alver Moefirma Escada esindaja Eestis ÜLLE KALDVEE on leidnud suurepärase mooduse tutvustada Escada tooteid otse võimalikule sihtgrupile .,esindaja,leidma,moodus,yes
Samas on itaallane alati usaldanud intuitsiooni .,itaallane,usaldama,intuitsioon,yes
Asjad toovad palju rõõmu .,asi,tooma,rõõm,yes
Sa mängid filmis ka ema .,sina,mängima,ema,yes
"Aga kui ta kohtab noormeest , kellesse oli 16aastasena kõrvadeni-ülepea armunud ?",tema,kohtama,noormees,yes
"Noh , miinimumprogrammi raames me ikka vaba aega leiame .",mina,leidma,aeg,yes
1976. aastal kõrvaldasid bulgaarlased KGB abil Inglismaal emigrandist kirjaniku Georgi Markovi .,bulgaarlane,kõrvaldama,kirjanik,yes
"Kõige suuremat muret tekitas tõik , et Sasha ei nõustunud sööma ega jooma .",tõik,tekitama,mure,yes
"“ Vägivald sünnitab vägivalda , ” võtab kokku natsismiohvrite saatust uurinud kunagine KGB ohvitser , kelle omaksed lasid sakslased hukata .",vägivald,sünnitama,vägivald,yes
"“ Õpiku kirjutamine võtab aasta , teine kulub täpsustusteks , parandusteks ja trükkimiseks , ” kirjeldab Avita kirjastuse juht Lii Aunaste õpiku valmimise protsessi .",kirjutamine,võtma,aasta,yes
Ta nägi meid sellelt teelt välja sõitmas ja rohkem kui 45 meetri kõrguselt kaljult alla kukkumas .,tema,nägema,mina,yes
"” Iisrael kontrollib Palestiina alalt väljumist , sissesõidul pole dokumenti vaja .",Iisrael,kontrollima,väljumine,yes
Seda on soosinud ka maailma riikide maksupoliitika .,maksupoliitika,soosima,see,yes
"Et see teooria pole laest võetud , seda kinnitab ka hiljutine Harvardi teadlaste uuring .",uuring,kinnitama,see,yes
Samal ajal said alguse ka radikaalsed feministlikud ideed .,idee,saama,algus,yes
Sisemistest probleemidest tõstab uurimus Läti ja Leedu puhul esile suhteid vene vähemusega .,uurimus,tõstma,suhe,yes
” Kas sa tunned ka Bruce'i endist kaasat Demi Moore'i ?,sina,tundma,kaasa,yes
Soome ametiühingud ning veidi hiljem ka Soome laevaehitajad seadsid kahtluse alla Eesti meremeeste oskused .,ametiühing,seadma,oskus,yes
"Wolfi teenistus leidis neid inimesi , tuhandete kaupa .",teenistus,leidma,inimene,yes
"Riik elamuid enne korda ei teinud , raha oli vähe .",riik,tegema,elamu,yes
Erakorralist infot edastas minister või ministriabi .,minister,edastama,info,yes
"Riik afisheerib pangandust ja muud maist majandust , rahva juurdepääs vaimsele rikkusele teda suurt ei huvita .",riik,afisheerima,pangandus,yes
Teised aga pälvivad alluvatelt tunnustust vastavalt pirukajagamisel hangitud noosi suurusele .,teine,pälvima,tunnustus,yes
"Ave-Stefanie Hogan-Isotamme isiku muudab veelgi saladuslikumaks tõik , et tema nime , telefoninumbrit ega aadressi ei tea ükski tegutsev infoliin .",tõik,muutma,isik,yes
"Läbi aegade pole teadus end sellistesse asjadesse eriti seganud , teadust ja religiooni on peetud koguni teineteist välistavateks .",teadus,segama,ise,yes
"Pärast kontserti väljendas Kuningas mulle lühikeses eravestluses omapoolset tänulikku vaimustust meie publiku üle ja tundus tõepoolest , et see polnud sugugi üksnes viisakus .",kuningas,väljendama,vaimustus,yes
"Komisjon panigi Vikberile tee kinni , kuna Bulgaaria vabariigi relvastuses ei ole 5,45 mm laskemoona kasutavaid relvi .",Komisjon,panema,tee,yes
"See nõuab poliitilist protsessi , konsensust alliansis , parlamentide konsensust .",see,nõudma,protsess,yes
Väga ilusasti ütles see daam telefoni .,daam,ütlema,telefon,yes
Eesti valitsus on teda sel suvel Eestisse loenguid pidama kutsunud .,valitsus,kutsuma,tema,yes
Venemaale ei ennusta head aastat keegi .,keegi,ennustama,aasta,yes
"See töö andis kogemusi majandus- ja õigusvaldkonnas , samuti kohtus esinemise praktika , mis hiljem pensionäride õiguste kaitsmisel kasuks tuli .",töö,andma,kogemus,yes
"Muidugi tekitavad kaks last ka pingeid , eriti esimestel nädalatel , kui laps ei lase magada ja kui ei saa väljas käia .",laps,tekitama,pinge,yes
"Mikenbergi missiooni ja ülesandeid mäletavad mõnedki Inglismaa eestlased , kes on varmalt valmis kõigest rääkima .",eestlane,mäletama,missioon,yes
“ Hommikul poole üheksast õhtul poole üheksani hoian ennast tegevuses .,pool,hoidma,ise,no
"Meie anname sulle passi , samas palume politseil uurida selle väljaandmisel aluseks olnud võltsdokumenti .",mina,andma,pass,yes
"Kui nad seda ei suuda , ei taha ma neid oma bussi .",mina,tahtma,buss,no
“ Midagi sellist ei olnud ma varem kogenud .,mina,kogema,miski,yes
Ometi vajavad nad kõik kindlasti ka psühholoogilist nõustamist .,tema,vajama,nõustamine,yes
"Kohtumine suurlinnaga võttis jalad nõrgaks , kuid ta jäi püsti .",kohtumine,võtma,jalg,yes
"Euroopalik käitumine tähendab loobumist kahtlusest , et iga kord , kui Eesti välisministeeriumi esindaja kohtub Vene välisministeeriumi kolleegiga , toimub salajane Eesti mahamüümine .",käitumine,tähendama,loobumine,yes
"Auto tehnilistest nõuetest kinnipidamise peab tagama tehniline ülevaatus , mis kombineerub areneva kindlustusturuga .",ülevaatus,tagama,kinnipidamine,yes
Viimased kohalikud valimised võitnud Mahla on läbi ja lõhki realist .,valimine,võitma,mahl,no
"Nemad rajasid oma äri edu juba Jossif Stalini ajal , 1949. aastal sõlmitud “ sõpruse , koostöö ja vastastikuse abistamise leppe ” peale , mille perestroika nurjas .",tema,rajama,edu,yes
“ Isa väljendab end tõesti väga radikaalselt ja hoopis karmimalt .,isa,väljendama,ise,yes
"Ta tõstis jälle üles vene vähemuse olukorra Eestis , väites , et siin jätkub massiline ja häbiväärne inimõiguste rikkumine .",tema,tõstma,olukord,yes
Loodetavasti leiab uuendamise käigus järgmises atlases kujutamist ka Eesti suuruselt 11. linna - Maardu kaart .,kaart,leidma,kujutamine,yes
"Ema tõi mind suve lõpus Haapsalust Tallinna , mul oli Mustamäel kahetoaline korter .",ema,tooma,mina,yes
"Teenistujad korraldasid korraliku stseeni , aga õnneks lahenes intsident õnnelikult .",teenistuja,korraldama,stseen,yes
Ainuüksi Miri varustamiseks tarvisminevate süstikulendude peale ajavahemikul 1995 - 1997 lubas lahke Kongress 400 miljonit dollarit ehk peaaegu pool Eesti aastaeelarvet !,kongress,lubama,aastaeelarve,yes
"Anna , kes polnud koolis varem esinenud , tunnetas teiste vastuseisu .",Anna,tunnetama,vastuseis,yes
"Mõne aja eest mõõtis üks Pärnumaa mees Tammiste vanadekodu välisseina temperatuuri ning avastas , et see ei vasta Brüsseli nõuetele .",mees,mõõtma,temperatuur,yes
Vaesest perest pärit Liverpooli poiss McCartney kaotas 14aastaselt ema .,poiss,kaotama,ema,yes
"Oma tütreid pole ma küll näinud nii palju , kui ma tahaksin .",mina,näima,tütar,yes
"Vabadel hetkedel ühendab Kersti sageli psühholoogia-huvi oma teise hobi , lugemisega : “ See on mu lemmiktegevus .",Kersti,ühendama,hobi,yes
"Mida sa tõesti naudid nii , et ootad seda varahommikust päeva lõpuni , mil saad asjaga segamatult tegelda ?",sina,nautima,mis,yes
Tegelikult mängivad väikeriigid Euroopa Unioonis samasugust rolli nagu hea õli auto mootoris .,väikeriik,mängima,roll,yes
"” Millal ja kuidas kliendi ja advokaadi suhe romantilised tuurid peale võttis , kes seda enam mäletab .",suhe,võtma,tuur,yes
Seda tõendas juhtum Vukovaris Bosnia konflikti ajal .,juhtum,tõendama,see,yes
“ Aga see kõik kohe tervendas mind .,see,tervendama,mina,yes
"Ehkki ta kaotas poole oma rahast esimese paari kuuga , pantis ta oma maja , laenas investeerimiseks 50 000 dollarit ning tema aktsiaportfelli väärtus on kasvanud 174 000 dollarini , seega 74% .",tema,pantima,maja,yes
"Kuni Zinni surve või ootamatu meelemuutus Iisraelis endas pole tulemust andnud , pilluvad tavalised palestiinlased kivisid edasi .",palestiinlane,pilduma,kivi,yes
"Kaudselt võib arstide sõnul majanduslikel põhjustel halba toitumist näidata suurenemine nakkushaigustesse , nagu näiteks gripp , kuid ka tuberkuloos .",suurenemine,näitama,toitumine,yes
“ Suveks me maja vist veel valmis ei saa .,mina,saama,maja,yes
Katarina lähedased süüdistavad Tanelit naiselt raha väljapressimises .,lähedane,süüdistama,Tanel,yes
Järgmised kaks olümpiat viisid tema ennustuse peaaegu täide .,olümpia,viima,ennustus,yes
Piirileping sulgeb meie ajaloo ühe lehekülje .,piirileping,sulgema,lehekülg,yes
Ta võib pealt kuulata ka kaugel seisvate inimeste juttu .,tema,kuulama,jutt,yes
"Aga ise ma ootan küll Euroopasse jõudmist , sest olen terve viimase aasta praktiliselt Ameerikas elanud .",mina,ootama,jõudmine,yes
"Lisaks sellele ei ole kumbki riik ühtegi rahvusvahelist lepingut rikkunud , sest nad pole nendega lihtsalt ühinenud .",riik,rikkuma,leping,yes
"Kord tehtud samme me enam kunagi ei saa muuta , ” kinnitas oma lahkumiskõnes Savisaar .",mina,muutma,samm,yes
See paneb Ameerikat teise pilguga vaatama .,see,panema,Ameerika,yes
Primakovi “ Euro-Aasia ” mudel peab eeskätt silmas Venemaa strateegilist partnerlust Hiinaga .,mudel,pidama,partnerlus,yes
"Maruvihane poiss haaras kuurist esimese ettejäänud asja , mis juhtus olema mootorsaag , ning ilmus sellega venna toa uksele .",poiss,haarama,asi,yes
"Ta meenutab aega , kui müügile ilmus Luule Viilma teine raamat : “ Juba nädalaid enne ilmumist helistati ja küsiti , kas juba on raamat müügil .",tema,meenutama,aeg,yes
Ilumängu vahukoore sisse upub loo ihar ja võikavõitu sisu .,sisu,uppuma,loog,no
Nõukogude Liiduga sõlmitud nn. vastastikuse abistamise lepingud muutsid Balti riigid idanaabri protektoraadiks .,leping,muutma,riik,yes
"Selle kinnitab rahvusvaheline töögrupp ja seal on kirjas , mida peab tegema pataljon , mida kompanii , mida rühm .",töögrupp,kinnitama,see,yes
"Leptiini-defektita hiirtele , kes olid lihtsalt hea toidu peal paksuks nuumatud , ei teinud leptiini süstimine suurt midagi .",süstimine,tegema,miski,yes
Asjad lihtsalt ajavad mind itsitama .,asi,ajama,mina,yes
Nende arvates näitab see ühise rahasüsteemi hüvesid .,see,näitama,hüve,yes
Öösel viis ta külalised talu tiiki vesirooside vahele ujuma .,tema,viima,külaline,yes
"Kui Eestis kasvab mobiiliomanike arv ka edaspidi 60% ringis aastas , saab iga kolmas eestlane mobiiltelefoni 2000. aasta lõpuks .",eestlane,saama,mobiiltelefon,yes
"Ta oli teinud midagi , mil polnud mingit tulemust .",tema,tegema,miski,yes
Ja Savisaar heidab internetis pilgu värsketele päevalehtedele .,Savisaar,heitma,pilk,yes
“ Ta rääkis endast kõik ära .,tema,rääkima,kõik,yes
"Mida peavad ikkagi tegema Viljandi , Rakvere või Tartu ettevõtjad , kui nad tahavad olla riigitruud ?",ettevõtja,tegema,mis,yes
"Gabrieli ( 31 ) paremat õlga ehib tätoveering , millel on kujutatud sihtmärki jälgiv snaiper .",tätoveering,ehtima,õlg,yes
"Ta annab haruharva intervjuusid ning vastab vaid sellistele küsimustele , mida tavaliselt esitavad talle lapsed või tema raamatute tavalugejad .",tema,andma,intervjuu,yes
"Vatikani pressiteenistuse teadaandes viibutab paavst sõrme selliste supertähtede suunas , nagu Jennifer Aniston , Naomi Campbell ja Catherine Zeta Jones .",paavst,viibutama,sõrm,yes
"Oktoobris otsis riiklike tööhõive-ametite vahendusel tööd 31 850 inimest , seega alla poole töötuist .",inimene,otsima,töö,yes
"Pikk autosõit muudab jalad kangeks , nii et Andrus plaanib õhtul veel joostavõimelda .",autosõit,muutma,jalg,yes
"Ma teen ta ise voodis heaks , kui vaja on .",mina,tegema,tema,yes
"Kohe tunnustasid teda maailma suured , Ameerika Ühendriigid ja Nõukogude Liit .",Ühendriik,tunnustama,tema,yes
"Selle katkestas õnnelik pruut , kes viskus peiule kaela ning kinkis talle kuuma suudluse .",pruut,katkestama,see,yes
Kas sa mähkmeid vahetad ?,sina,vahetama,mähe,yes
Vägisi haiglasse saatmine tähendaks ahistamist .,saatmine,tähendama,ahistamine,yes
Vaba maa - iga mats võib ennast tunda kellena tahes .,mats,tundma,ise,yes
See tähendab stabiilsust ja sotsiaalsete pingete leevendamist regioonis .,see,tähendama,stabiilsus,yes
Kuuldavasti panid nad sellele pühakule kirikus minu jaoks suure hulga küünlaid põlema .,tema,panema,küünal,yes
Jättis ta ju ise New Yorki kolides oma 15aastase poja Sindri koju Islandile isa Thor Eldroni kasvatada .,tema,jätma,poja,yes
"See üllatav väide lükkas ümber avaliku arvamuse küsitluste tulemused , mis kinnitavad , et alates 1992. aastast on inimesed pidanud kõige olulisemaks just turvalisust ja kuritegevuse pidurdamist .",väide,lükkama,tulemus,yes
Psühholoogide ja meteoroloogide arvamus langeb nende põhjusi vaagides kokku : kehvades kvartalites valitsenud pinge ja stress vallandusid plahvatusena .,arvamus,langema,põhjus,yes
"“ See katab kooli reaalsed kulud ja midagi jääb ka väikesteks investeeringuteks , ” põhjendab Tamjärv õppemaksu suurust .",see,katma,kulg,no
"Tulemused kinnitavad must valgel seda , et Lüganuse Keskkool on hea kool .",tulemus,kinnitama,see,yes
"Jõulueelse reklaamikampaania ajal sõlmis Radiolinja liitumislepinguid täiesti tasuta , lisaks lubati 300 krooni eest telefonikõnesid firma kulul .",reklaamikampaania,sõlmima,liitumisleping,no
“ Tohutu võõrtööliste voog ületab päevast-päeva piiri .,voog,ületama,piir,yes
"5. juulil 1993 andis kaitsejõudude peastaabi ülem välja käskkirja , millega kohustati jäägreid Paldiskis üle võtma Vene sõjaväeosa .",ülem,andma,käskkiri,yes
"“ Eks ma pean nüüd , jah , natuke tuure maha tõmbama , ” arvab mees , keda sageli meelitavad kaunid daamid ja seksikad modellid .",mina,tõmbama,tuur,yes
See muudab Savisaare veel kord märtriks ja tema erakonna suurimaks opositsioonierakonnaks nii all-linnas kui ka Toompeal .,see,muutma,Savisaar,yes
"Ise ta seda ei mäleta , aga teab vanemate jutustuste põhjal - esimene eluaasta möödus sõna otseses mõttes “ sulgede sees .",tema,mäletama,see,yes
"See seletab ehk ka tema soojenevaid suhteid ekskallima Hugh Grantiga , kes käib koos Hurleyga arstide juures ja aitab osta kõike vajalikku , et muuta Hurley “ poissmehekodu mugavaks pereelamuks .",see,seletama,suhe,yes
"JULIA ROBERTSi järjekindlus kandis vilja - näitlejatar abiellus mehega , kelle ta eksnaise käest välja ostis .",järjekindlus,kandma,vili,yes
Ja kes muu teda ikka paremini mõistab kui inimene samast maailmast .,muu,mõistma,tema,yes
"Peastaabi ülem oli õigeaegselt ette valmistanud dokumendid , et kaitseväe juhataja need presidendile viiks .",ülem,valmistama,dokument,yes
"Luup oli just avaldanud nende koolide nimekirja , kes tulemustelt poolesaja kehvema sekka jäid .",luup,avaldama,nimekiri,yes
"Poliitikud võivad leida kümneid vastuväiteid , kartes luua pretsedenti , kuid siin võib peituda ühe keerulise probleemi võti .",poliitik,leidma,vastuväide,yes
"Mõistagi lõhnavad need arvutused absurdi järele - seda enam , et peale eluaseme ja auto vajavad inimesed sööki-jooki ja riideid selga , vanematel on suuri kulutusi laste koolitamisega jne .",arvutus,lõhnama,absurd,yes
Vald kannab ka maja ülalpidamiskulud ja maksab koolitädile palga .,vald,kandma,ülalpidamiskulu,yes
Ma söön ainult väga head sülti .,mina,sööma,sült,yes
Aju on inimese teadmata jätnud meelde kõik sõnad .,aju,jätma,sõna,yes
"Vaatamata liigirohkusele huvitab uurijaid juba oma pool sajandit põhiliselt ainult üks mikroob , Streptococcus mutans .",mikroob,huvitama,uurija,yes
Eesti presidendi Arnold Rüütli kätt surusin ma pärast hiljutist Eesti ja Monaco sporditähtede vahelist jalgpallimatši ( septembri algul Tallinnas toimunud heategevuslik vutishow - toim ) .,mina,suruma,käsi,yes
"” Elu pakub ka teismelistele piisavalt kogemusi , veendumaks , et alkoholi tarbimine võib lõppeda traagiliselt .",elu,pakkuma,kogemus,yes
"Nigelat asetust kompenseeris ehk vaid see , et idanaaber Venemaa paiknes paar kohta tagapool .",see,kompenseerima,asetus,yes
"Juhul kui tabud on tugevad , siis nad konfliktsituatsioonis pidurdavad agressiivsust .",tema,pidurdama,agressiivsus,yes
Kuidas Ivo sind meeles pidas ?,Ivo,pidama,sina,yes
"Eestlased kaotasid kümne aasta sees ( 1940 - 1950 ) ligi 120 000 hinge , mis ületab kümnendiku rahva koguarvust .",eestlane,kaotama,hing,yes
Ma ei tee asju lihtsalt niisama .,mina,tegema,asi,yes
Keemiainseneri ja rahandusspetsialisti haridusega Hodorkovski pani oma varandusele aluse õndsat komsomoliorganisatsiooni teenides .,Hodorkovski,panema,alune,yes
Seepärast veeretavad nad palli automaksu peale - seda maksu kogub kohalik omavalitsus .,tema,veeretama,pall,yes
"Seda muljet soodustavad ka teemad , millega ta tegeleb - üks range nõudmine , revisjon ja arvepidamine teise järel .",teema,soodustama,mulje,yes
Minu jumal hoiab mind väga .,jumal,hoidma,mina,yes
Nii meie väga lugupeetud president Meri kui ka Välisministeeriumi usinad ametnikud kiitsid ahvikiirusel heaks ameeriklaste pommitamised Pärsia lahe piirkonnas .,president,kiitma,pommitamine,yes
“ Me ei lase kodumaise tööstuse toetamise pärast hindu alla .,mina,laskma,hind,yes
” Finaali pääsemine ületas kõik mu ootused .,pääsemine,ületama,ootus,yes
Ajalugu pakub kummalisi näiteid .,ajalugu,pakkuma,näide,yes
Proua Laos juhatab kannatamatud külalised mööda maja otsaseina kulgevat puutreppi pööningukambrisse .,proua,juhatama,külaline,yes
"Kui te kunagi tippspordist loobute , mis te siis teete ?",sina,tegema,mis,yes
H . K : Üks ei sega teist ja maal läheb oma rada edasi .,üks,segama,teine,yes
Nüüd ma enam protsendiga laenu ei anna .,mina,andma,laen,yes
"Olümpia hotell , kus kapitalistide lapsed ööbisid , jättis talle masendava mulje .",hotell,jätma,mulje,yes
"Ühiskonna areng erutas teda jätkuvalt , Westholm kuulus näiteks Riigikogu esimesse , teise , kolmandasse ja neljandasse koosseisu , osales Tallinna volikogu töös jne .",areng,erutama,tema,yes
“ Viimse reliikvia ” legend mahutab endas kõike - Lennart Merist Eve Kivini .,legend,mahutama,kõik,yes
"Tema elukaaslane Kristel Loide ( 20 ) tõi 9. mail Pelgulinna sünnitusmajas ilmale beebi , kes sai nimeks Villem Richard .",elukaaslane,tooma,beebi,yes
"Aga keda huvitavad suured inimsuhted ja teise sisse minek ( vaim-selt ! ) , neil pole varakapitalistliku kõhulahtisuse perioodil mingit pidu .",inimsuhe,huvitama,kes,yes
Selgitusi on jaganud nii välisminister Madeleine Albright kui ka kaitseminister William Cohen .,välisminister,jagama,selgitus,yes
