,sentence,adjective,noun,
37,"Aga ***** büroosid tuleb selle tõttu , et elu läheb edasi .",originaalne,büroo,no
38,"“ Koolis mõni päris , et su isal on ***** naine .",uus,naine,yes
39,"“ Koolis mõni päris , et su isal on ***** naine .",originaalne,naine,no
40,"***** naised kimasid tsiklitel baari ette , revolvrid vööl .",õllene,naine,yes
41,"***** naised kimasid tsiklitel baari ette , revolvrid vööl .",ebakaine,naine,yes
42,"tekst : Tarmo Virki ( “ Postimees ” ) Kollane ajakirjandus lokkab ja ***** lehed kaotavad lugejaid , kinnitab septembri keskel Soomes avaldatud meediauurimus .",asjalik,leht,yes
43,"tekst : Tarmo Virki ( “ Postimees ” ) Kollane ajakirjandus lokkab ja ***** lehed kaotavad lugejaid , kinnitab septembri keskel Soomes avaldatud meediauurimus .",ettenägelik,leht,no
44,"Tema lapsepõlve fotoalbumeis pole aga pildid temast ja ta perest , vaid hoopis ***** Estonia teatri lauljate ja tantsijate fotod .",toonane,teater,yes
45,"Tema lapsepõlve fotoalbumeis pole aga pildid temast ja ta perest , vaid hoopis ***** Estonia teatri lauljate ja tantsijate fotod .",vana,teater,yes
46,Tollane valitsusjuht Mart Laar ei varjanud oma tundelist suhtumist Tartu Kommertspanka kui “ ***** ” panka .,endine,pank,yes
47,Tollane valitsusjuht Mart Laar ei varjanud oma tundelist suhtumist Tartu Kommertspanka kui “ ***** ” panka .,läinud,pank,yes
48,See pakubki valitsuse või ***** majandussektoriga seotud seltskonnale soodsaid võimalusi nii riigi- kui ka eravarade ärastamiseks .,riiklik,majandussektor,yes
49,See pakubki valitsuse või ***** majandussektoriga seotud seltskonnale soodsaid võimalusi nii riigi- kui ka eravarade ärastamiseks .,poliitiline,majandussektor,yes
50,Daamil on ***** majandustenikumi finants-ökonomisti diplom ning aastajagu päevi on ta õppinud ka Eesti Kõrgemas Kommertskoolis .,omaaegne,diplom,yes
51,Daamil on ***** majandustenikumi finants-ökonomisti diplom ning aastajagu päevi on ta õppinud ka Eesti Kõrgemas Kommertskoolis .,läinud,diplom,no
52,"Tema ***** ( enese ) iroonia , erudeeritus ja kõige taustana püsiv varjamatu anne ei suutnud aga siiski lõpuni hajutada etendust saatnud kohvikueeskava kõrvalmaitset .",siiras,iroonia,yes
53,"Tema ***** ( enese ) iroonia , erudeeritus ja kõige taustana püsiv varjamatu anne ei suutnud aga siiski lõpuni hajutada etendust saatnud kohvikueeskava kõrvalmaitset .",ehe,iroonia,yes
54,“ ***** pätt .,viimane,pätt,yes
55,“ ***** pätt .,püsiv,pätt,no
56,Iga ***** näitus on sul uus stiil või uus idee .,uus,näitus,yes
57,Iga ***** näitus on sul uus stiil või uus idee .,originaalne,näitus,no
58,"Lapse kasvatamine nõuab vanematelt aega , raha ja loomulikult valmisolekut kõigeks ***** .",ettearvamatu,valmisolek,no
59,"Lapse kasvatamine nõuab vanematelt aega , raha ja loomulikult valmisolekut kõigeks ***** .",ennustamatu,valmisolek,no
60,"Primakov võrdleb oma ülesandeid kunagise kantsleri krahv Gortshakovi omadega , kes Moskva ***** propagandas esineb Vene impeeriumi positsioonide taastajana pärast Krimmi sõda .",ametlik,propaganda,yes
61,"Primakov võrdleb oma ülesandeid kunagise kantsleri krahv Gortshakovi omadega , kes Moskva ***** propagandas esineb Vene impeeriumi positsioonide taastajana pärast Krimmi sõda .",täieõiguslik,propaganda,yes
62,"Kaarel Tarandi kommentaar Keevkihikatelde projekti eeliseks on see , et ta “ loob ***** baasi Eesti kindlaks varustamiseks mõõdukahinnalise elektriga ” .",pikaajaline,baas,yes
63,"Kaarel Tarandi kommentaar Keevkihikatelde projekti eeliseks on see , et ta “ loob ***** baasi Eesti kindlaks varustamiseks mõõdukahinnalise elektriga ” .",pikk,baas,no
64,Kroonika püüdis korrata ***** õhustikku ning kutsus Gabrieli ja Agnese lõunat sööma keskajahõngulisse restorani Olde Hansa .,toonane,õhustik,yes
65,Kroonika püüdis korrata ***** õhustikku ning kutsus Gabrieli ja Agnese lõunat sööma keskajahõngulisse restorani Olde Hansa .,omaaegne,õhustik,yes
66,"Kõigele vaatamata on just nendel inimestel ***** anne kunsti , teaduse , filosoofia , poliitika või sõjalise juhtimise alal .",silmapaistev,anne,yes
67,"Kõigele vaatamata on just nendel inimestel ***** anne kunsti , teaduse , filosoofia , poliitika või sõjalise juhtimise alal .",huvitav,anne,no
68,***** süsteemi muutmist seal lähiajal aga oodata ei ole .,poliitiline,süsteem,yes
69,***** süsteemi muutmist seal lähiajal aga oodata ei ole .,riiklik,süsteem,yes
70,Tema algne soov oli üllas - kinnistada ETV rezhissööride ***** tööd .,omaaegne,töö,yes
71,Tema algne soov oli üllas - kinnistada ETV rezhissööride ***** tööd .,läinud,töö,no
72,"Võib-olla teadis roodukomandör kapten Kasjanov käskkirja tegelikku mõtet , meile käsulaudadeks olevast Pravdast sai aimu üksnes sellest , et Lääne imperialistide ***** tegevus oli ohtu seadnud sotsialismileeri ühtsuse ja Nõukogude Liit Varssavi pakti liikmena oli kutsutud täitma oma vennalikku kohust .",räpane,tegevus,yes
73,"Võib-olla teadis roodukomandör kapten Kasjanov käskkirja tegelikku mõtet , meile käsulaudadeks olevast Pravdast sai aimu üksnes sellest , et Lääne imperialistide ***** tegevus oli ohtu seadnud sotsialismileeri ühtsuse ja Nõukogude Liit Varssavi pakti liikmena oli kutsutud täitma oma vennalikku kohust .",tolmune,tegevus,no
74,"” Celine'i ***** tööandjad pakkusid , et ehitavad tema perekonnale Las Vegasesse villa , kuid Celine esitas ebatavalise nõudmise .",uus,tööandja,yes
75,"” Celine'i ***** tööandjad pakkusid , et ehitavad tema perekonnale Las Vegasesse villa , kuid Celine esitas ebatavalise nõudmise .",originaalne,tööandja,yes
76,"Siis hakkas tekkima meeskond , kelle liikmed juhtisid ***** lõikudes kustutustöid .",konkreetne,lõik,yes
77,"Siis hakkas tekkima meeskond , kelle liikmed juhtisid ***** lõikudes kustutustöid .",minimalistlik,lõik,no
78,Eurooplased on alati olnud ***** kommete ülevõtmisel pikaldased .,uus,komme,yes
79,Eurooplased on alati olnud ***** kommete ülevõtmisel pikaldased .,originaalne,komme,yes
80,"See on minu jaoks nii ***** üleelamine , et ma veel mitu päeva järjest olen täiesti šokis - veel hullemas kui loom ise .",suur,üleelamine,yes
81,"See on minu jaoks nii ***** üleelamine , et ma veel mitu päeva järjest olen täiesti šokis - veel hullemas kui loom ise .",sügav,üleelamine,yes
82,"Jaanus Hämarsoo Giovanni Sposato ( 30 ) , kes möödunud nädalal rääkis Kroonikas vägivaldsest vahejuhtumist oma ekskallima Kati Veerme ( 18 ) uue sõbraga klubis Hollywood , kavandab nüüd kohtukäiku moraalse kahju hüvitamiseks - ja kahjuks nimetab ta 50 000 krooni .",moraalne,kahi,no
83,"Jaanus Hämarsoo Giovanni Sposato ( 30 ) , kes möödunud nädalal rääkis Kroonikas vägivaldsest vahejuhtumist oma ekskallima Kati Veerme ( 18 ) uue sõbraga klubis Hollywood , kavandab nüüd kohtukäiku moraalse kahju hüvitamiseks - ja kahjuks nimetab ta 50 000 krooni .",eetiline,kahi,no
84,"Vabaduses laseb ***** lindprii mõnuga hea maitsta lemmikroogadel , millest metsas ja haiglas unistas - kartulisalatil ja šašlõkil .",endine,mõnu,no
85,"Vabaduses laseb ***** lindprii mõnuga hea maitsta lemmikroogadel , millest metsas ja haiglas unistas - kartulisalatil ja šašlõkil .",läinud,mõnu,no
86,"“ ***** pisiasjad jätsid mulje , mille parandamiseks kulus kogu ülejäänud aeg .",tüütu,pisiasi,yes
87,"“ ***** pisiasjad jätsid mulje , mille parandamiseks kulus kogu ülejäänud aeg .",pealetükkiv,pisiasi,yes
88,Aga puudub nende arenguks ***** kindel rahastamise süsteem .,vajalik,süsteem,yes
89,Aga puudub nende arenguks ***** kindel rahastamise süsteem .,hädavajalik,süsteem,yes
90,” ***** rahu valitseb Soome laanes .,suur,rahu,yes
91,” ***** rahu valitseb Soome laanes .,sügav,rahu,yes
92,” Krigolsoni endise äripartneri sõnul tuli Jaanusele omal ajal kõvasti kasuks ka sõprus ***** Tallinna Panga aktsionäri Toomas Tooliga .,kunagine,aktsionär,yes
93,” Krigolsoni endise äripartneri sõnul tuli Jaanusele omal ajal kõvasti kasuks ka sõprus ***** Tallinna Panga aktsionäri Toomas Tooliga .,omaaegne,aktsionär,yes
94,"” Raivo Vare “ Põllumajandusteadus , - haridus , nõuandetegevus ja ettevõtlus on ***** süsteemis omavahel tihedalt seotud , mille juures operatiivne infovahetus ning õppebaasi planeerimine omab peamist ja esmast tähtsust .",arenev,süsteem,yes
95,"” Raivo Vare “ Põllumajandusteadus , - haridus , nõuandetegevus ja ettevõtlus on ***** süsteemis omavahel tihedalt seotud , mille juures operatiivne infovahetus ning õppebaasi planeerimine omab peamist ja esmast tähtsust .",aktiivne,süsteem,yes
96,"Üks ***** Paltsu alluv ütleb , et Palts kasutas osavalt ära , et rikaste inimestega tahab igaüks sõber olla .",endine,alluv,yes
97,"Üks ***** Paltsu alluv ütleb , et Palts kasutas osavalt ära , et rikaste inimestega tahab igaüks sõber olla .",omaaegne,alluv,yes
98,"Teisipidi jälle on lennukites ööbimine , lennujaamade lounge ' ides oma lennu ootamine ja ajavahedega harjumine füüsiliselt nii kurnav , et ajaleht Äripäev nimetas Peetrit “ ***** olekuga meheks ” .",unine,olek,yes
99,"Teisipidi jälle on lennukites ööbimine , lennujaamade lounge ' ides oma lennu ootamine ja ajavahedega harjumine füüsiliselt nii kurnav , et ajaleht Äripäev nimetas Peetrit “ ***** olekuga meheks ” .",väsinud,olek,yes
100,"Noh , see ei olnud küll ***** summa ja ise ma otseselt ei tegelenud , aga ...",suur,summa,yes
101,"Noh , see ei olnud küll ***** summa ja ise ma otseselt ei tegelenud , aga ...",kõrge,summa,no
102,"***** tuli oli klassis ja mina vaatasin , kuidas uksest välja sain , ” meenutab Karl .",suur,tuli,yes
103,"***** tuli oli klassis ja mina vaatasin , kuidas uksest välja sain , ” meenutab Karl .",kõrge,tuli,yes
104,"“ Te küsite , kas ma toetan oma meest ? ” paukus sõjakas lauljatar ***** pressikonverentsil .",hiljutine,pressikonverents,yes
105,"“ Te küsite , kas ma toetan oma meest ? ” paukus sõjakas lauljatar ***** pressikonverentsil .",uus,pressikonverents,yes
106,"Kujutlusis ***** pilt naabrite hea-olust , mida sai punavanglast tänu telerile piilutud , püüdsid eestlased hirmkähku oma elustiili naabrite tasemele upitada ja möödagi minna .",ere,pilt,yes
107,"Kujutlusis ***** pilt naabrite hea-olust , mida sai punavanglast tänu telerile piilutud , püüdsid eestlased hirmkähku oma elustiili naabrite tasemele upitada ja möödagi minna .",intensiivne,pilt,yes
108,"See , et ta on ka ränka tööd murdev ***** näitlejatar , ei paista temast esimese hooga lihtsalt välja .",andekas,näitlejatar,yes
109,"See , et ta on ka ränka tööd murdev ***** näitlejatar , ei paista temast esimese hooga lihtsalt välja .",loov,näitlejatar,yes
110,"Vene erastamisskeemi järgi pidi ***** osalus ettevõttest minema insaideritele , enamik aktsiaid aga kavatseti müüa töötajatele .",väike,osalus,yes
111,"Vene erastamisskeemi järgi pidi ***** osalus ettevõttest minema insaideritele , enamik aktsiaid aga kavatseti müüa töötajatele .",madal,osalus,no
112,President Lennart Meri nimetas aastavahetuse kõnes võimust võõrandumist oma ***** mureks .,peamine,mure,yes
113,President Lennart Meri nimetas aastavahetuse kõnes võimust võõrandumist oma ***** mureks .,eriline,mure,yes
114,"Peagi aga puutub Ita Ever ( 70 ) Vanalinnastuudios kokku mõlemaga , sest Eino Baskin ( 72 ) on kutsunud ta mängima oma ***** lavastusse .",uus,lavastus,yes
115,"Peagi aga puutub Ita Ever ( 70 ) Vanalinnastuudios kokku mõlemaga , sest Eino Baskin ( 72 ) on kutsunud ta mängima oma ***** lavastusse .",originaalne,lavastus,yes
116,"Tundub , et nende kodus uuenevad vaid raamatud ja arvutid , muu nagu elaks oma ***** elu .",ajatu,elu,yes
117,"Tundub , et nende kodus uuenevad vaid raamatud ja arvutid , muu nagu elaks oma ***** elu .",igavene,elu,yes
118,"Elektrijaamade hind ei seostu loogiliselt NRG Energy pakutud ***** investeeringute mahuga : esimeses plaanis 597 miljonit USA dollarit ( vahetuskursist olenevalt 8 - 8,5 miljardit krooni ) , uues plaanis 436 miljonit USA dollarit ( 6 - 6,5 miljardit krooni ) .",vajalik,investeering,yes
119,"Elektrijaamade hind ei seostu loogiliselt NRG Energy pakutud ***** investeeringute mahuga : esimeses plaanis 597 miljonit USA dollarit ( vahetuskursist olenevalt 8 - 8,5 miljardit krooni ) , uues plaanis 436 miljonit USA dollarit ( 6 - 6,5 miljardit krooni ) .",hädavajalik,investeering,yes
120,"” Vaadanud ära ka kohaliku bändi esinemise , öelnud Jaak Marjule ***** sõnad : “ Su koht ei ole siin , marss Tallinna tagasi !",ajalooline,sõna,yes
121,"” Vaadanud ära ka kohaliku bändi esinemise , öelnud Jaak Marjule ***** sõnad : “ Su koht ei ole siin , marss Tallinna tagasi !",keskaegne,sõna,no
122,Teravalt rahulolematuid oli 14% ning pigem negatiivse kui ***** suhtumisega vastanuid 33% .,positiivne,suhtumine,yes
123,Teravalt rahulolematuid oli 14% ning pigem negatiivse kui ***** suhtumisega vastanuid 33% .,hea,suhtumine,no
124,” Otse loomulikult ootab laiem üldsus Hollywoodi uuelt esipaarilt ***** abiellumist ja pereloomist .,peatne,abiellumine,yes
125,” Otse loomulikult ootab laiem üldsus Hollywoodi uuelt esipaarilt ***** abiellumist ja pereloomist .,homne,abiellumine,yes
126,"Helistati kinokomiteesse ja öeldi ***** esimehele Feliks Liivikule , et see on ikka väga halb , et Kiviga seal niimoodi vannis on pilti tehtud .",toonane,esimees,yes
127,"Helistati kinokomiteesse ja öeldi ***** esimehele Feliks Liivikule , et see on ikka väga halb , et Kiviga seal niimoodi vannis on pilti tehtud .",omaaegne,esimees,yes
128,"Nende paturegister olevat suur , iseasi , mida ***** lõpuks sõelale jääb .",käegakatsutav,lõpp,no
129,"Nende paturegister olevat suur , iseasi , mida ***** lõpuks sõelale jääb .",aineline,lõpp,no
130,"***** esimees , daamid ja härrad , austatud kolleegid ! ” jne .",lugupeetud,esimees,yes
131,"***** esimees , daamid ja härrad , austatud kolleegid ! ” jne .",auväärne,esimees,yes
132,Detsembri keskel Ostankino televisioonis näidatud palgamõrvade ohvrite nimekirjas vilksatas ka ***** Ceosili peadirektori Edurd Abovjani nimi .,kunagine,peadirektor,yes
133,Detsembri keskel Ostankino televisioonis näidatud palgamõrvade ohvrite nimekirjas vilksatas ka ***** Ceosili peadirektori Edurd Abovjani nimi .,omaaegne,peadirektor,yes
134,"Loomulikult järgnesid sõnadele ka teod - Iraani salaluure on Kabulis üks aktiivsemaid , suur osa Afganistani opositsioonile ***** relvadest on pärit Iraanist .",saabuv,relv,yes
135,"Loomulikult järgnesid sõnadele ka teod - Iraani salaluure on Kabulis üks aktiivsemaid , suur osa Afganistani opositsioonile ***** relvadest on pärit Iraanist .",homne,relv,no
136,"Kuulujutud ***** pulmadest läksid lahti juba augustis , kui paar võõrustas sõpru ja tuttavaid kihluspeo tähe all .",peatne,pulm,yes
137,"Kuulujutud ***** pulmadest läksid lahti juba augustis , kui paar võõrustas sõpru ja tuttavaid kihluspeo tähe all .",homne,pulm,yes
138,Umbes 400 inimese tööta jäämine tähendaks Valga-taolisele linnale tõsist ***** häda .,sotsiaalne,häda,yes
139,Umbes 400 inimese tööta jäämine tähendaks Valga-taolisele linnale tõsist ***** häda .,seltsiv,häda,no
140,***** konjak enne esinemist petab väsimuse ära .,väike,konjak,yes
141,***** konjak enne esinemist petab väsimuse ära .,noor,konjak,no
142,Gert avab ***** kapi ja näitab huvitavamaid rõivaid .,pikk,kapp,yes
143,Gert avab ***** kapi ja näitab huvitavamaid rõivaid .,kauge,kapp,no
144,“ Kaks medalit [ hiljutine Lahti MM kuld 30 km ***** stiilis ja eelmisel aastal Ramsau MM 50 km hõbe ] olen võitnud ühe suusapaariga .,klassikaline,stiil,yes
145,“ Kaks medalit [ hiljutine Lahti MM kuld 30 km ***** stiilis ja eelmisel aastal Ramsau MM 50 km hõbe ] olen võitnud ühe suusapaariga .,standardne,stiil,no
146,"“ Palun-palun ! ” julgustab härra Toomsalu galantselt kaaskõnelejat küsimusi esitama ja naerab jupikese magusat naeru , kui mängu tulevad hüüdnimed nagu “ ***** kommunist ” ja Don Quijote .",viimane,kommunist,yes
147,"“ Palun-palun ! ” julgustab härra Toomsalu galantselt kaaskõnelejat küsimusi esitama ja naerab jupikese magusat naeru , kui mängu tulevad hüüdnimed nagu “ ***** kommunist ” ja Don Quijote .",püsiv,kommunist,no
148,"See oli see mõnu , sest õlu ise oli ***** sitt .",viimane,sitt,yes
149,"See oli see mõnu , sest õlu ise oli ***** sitt .",püsiv,sitt,no
150,"“ Kuna poliitikud polnud selge sõnaga öelnud , mida nende paberitega üldse saab teha , müüs umbes viiendik elanikest need maha , teised ostsid jälle soodsat hinda kasutades kokku , ” meenutab Olari Taal , kelle sõnutsi seisnes ***** äriidee usus oma lobbysse .",toonane,äriidee,yes
151,"“ Kuna poliitikud polnud selge sõnaga öelnud , mida nende paberitega üldse saab teha , müüs umbes viiendik elanikest need maha , teised ostsid jälle soodsat hinda kasutades kokku , ” meenutab Olari Taal , kelle sõnutsi seisnes ***** äriidee usus oma lobbysse .",vana,äriidee,yes
152,"Ameeriklased , kes on juba 70 aastat pidanud Hollywoodi suurstuudioid oma filmikunsti kehastuseks ja peaaegu rahvuslikuks institutsiooniks , peavad nüüd harjuma ***** mängureeglitega .",uus,mängureegel,yes
153,"Ameeriklased , kes on juba 70 aastat pidanud Hollywoodi suurstuudioid oma filmikunsti kehastuseks ja peaaegu rahvuslikuks institutsiooniks , peavad nüüd harjuma ***** mängureeglitega .",originaalne,mängureegel,yes
154,***** side ja Euroopa Liidult väljakaubeldud luba laiendada 10% maksumäära ka finantsteenuseid pakkuvatele ettevõtetele on andnud mõjuva tulemuse .,efektiivne,side,yes
155,***** side ja Euroopa Liidult väljakaubeldud luba laiendada 10% maksumäära ka finantsteenuseid pakkuvatele ettevõtetele on andnud mõjuva tulemuse .,mõjukas,side,yes
156,Aga enne veel kasutas ta ära ühe soodsa eelise - Korea sõja veteranidel oli võimalus saada nelja-aastane ***** stipendium .,riiklik,stipendium,yes
157,Aga enne veel kasutas ta ära ühe soodsa eelise - Korea sõja veteranidel oli võimalus saada nelja-aastane ***** stipendium .,poliitiline,stipendium,no
158,Iga kriis on selle reguleerijatele ***** õppus .,suur,õppus,yes
159,Iga kriis on selle reguleerijatele ***** õppus .,sügav,õppus,no
160,"***** reisiks kavatseb Männard aurutada limonaadidest ja mineraalirohkest veest vedeliku välja , sest vett on üleval küllalt .",järgmine,reis,yes
161,"***** reisiks kavatseb Männard aurutada limonaadidest ja mineraalirohkest veest vedeliku välja , sest vett on üleval küllalt .",järgnev,reis,yes
162,"Vaata kust otsast vaatad , üks on selge - ***** armas kodumaa konutab kusagil Euroopa tagakambri koti peal .",väike,kodumaa,yes
163,"Vaata kust otsast vaatad , üks on selge - ***** armas kodumaa konutab kusagil Euroopa tagakambri koti peal .",noor,kodumaa,yes
164,"Kui ***** kasvu sihvakas eksmiss Helen suhtleb meeleldi avalikkusega , siis temast peaaegu pea jagu lühem Kuno on seni eelistanud end varjus hoida ja kulisside tagant niite tõmmata .",pikk,kasv,yes
165,"Kui ***** kasvu sihvakas eksmiss Helen suhtleb meeleldi avalikkusega , siis temast peaaegu pea jagu lühem Kuno on seni eelistanud end varjus hoida ja kulisside tagant niite tõmmata .",kauge,kasv,no
166,Temas peitub soov saada nüüdse Ida ***** kunstnikuks .,ametlik,kunstnik,yes
167,Temas peitub soov saada nüüdse Ida ***** kunstnikuks .,täieõiguslik,kunstnik,yes
168,"Mere Mannerheimi elulugu , mis nüüd ka eesti keelde jõudnud , paneb ***** Kunsti Muuseumi ees seisva Mannerheimi ratsamonumendi liikuma .",kaasaegne,kunst,yes
169,"Mere Mannerheimi elulugu , mis nüüd ka eesti keelde jõudnud , paneb ***** Kunsti Muuseumi ees seisva Mannerheimi ratsamonumendi liikuma .",popp,kunst,no
170,"Kui Berezovski sai lohutusauhinna ja kutse teisele võistlusalale , siis tema ***** konkurentidel lubati nullist alustada vana distantsi klassikalistes valitsusintriigides .",peamine,konkurent,yes
171,"Kui Berezovski sai lohutusauhinna ja kutse teisele võistlusalale , siis tema ***** konkurentidel lubati nullist alustada vana distantsi klassikalistes valitsusintriigides .",eriline,konkurent,no
172,Keskmise inimese ***** doos maksab 615 krooni .,keskmine,doos,yes
173,Keskmise inimese ***** doos maksab 615 krooni .,vahepealne,doos,yes
174,***** on vähemasti kooskõlas Pavlovi klassikalise reflekside õpetusega .,viimane,kooskõla,no
175,***** on vähemasti kooskõlas Pavlovi klassikalise reflekside õpetusega .,püsiv,kooskõla,no
176,Kindlalt on teada paarkümmend ***** ohvrit .,otsene,ohver,yes
177,Kindlalt on teada paarkümmend ***** ohvrit .,esmane,ohver,yes
178,"Oma erialaselt ulja tegevusega avalikkuse tähelepanu pälvinud Eerik-Niiles Kross ( 33 ) on nüüdseks küll juba kolmandasse abiellu astunud , ent tema ema arvates on see mõistetav : “ Esimese abielu aegu oli ta nii noor , et see suhe lõppes veel enne , kui päriselt alata jõudis , ja teine abielu oli ju välismaalasega , kelle taust oli nii teistsuguste mustrite ja rütmidega , et ebaõnnestumine on ***** .",mõistetav,muster,no
179,"Oma erialaselt ulja tegevusega avalikkuse tähelepanu pälvinud Eerik-Niiles Kross ( 33 ) on nüüdseks küll juba kolmandasse abiellu astunud , ent tema ema arvates on see mõistetav : “ Esimese abielu aegu oli ta nii noor , et see suhe lõppes veel enne , kui päriselt alata jõudis , ja teine abielu oli ju välismaalasega , kelle taust oli nii teistsuguste mustrite ja rütmidega , et ebaõnnestumine on ***** .",arusaadav,muster,no
